0,1,2,3,4,5,6,7,8,9
20787.0,2997.0,0.0,1182.0,1361.0,729.0,0.0,0.0,0.0,2944.0
3915.0,18245.0,0.0,1040.0,1562.0,712.0,0.0,0.0,0.0,4526.0
4838.0,1949.0,0.0,4392.0,11255.0,5295.0,0.0,0.0,0.0,2271.0
2243.0,1615.0,0.0,9498.0,5020.0,8160.0,0.0,0.0,0.0,3464.0
2406.0,1285.0,0.0,3084.0,18571.0,2935.0,0.0,0.0,0.0,1719.0
1640.0,1160.0,0.0,6693.0,4738.0,13892.0,0.0,0.0,0.0,1877.0
745.0,979.0,0.0,5556.0,18336.0,2561.0,0.0,0.0,0.0,1823.0
2379.0,2276.0,0.0,3802.0,8122.0,5410.0,0.0,0.0,0.0,8011.0
17030.0,4833.0,0.0,894.0,450.0,853.0,0.0,0.0,0.0,5940.0
4049.0,5771.0,0.0,1775.0,1192.0,712.0,0.0,0.0,0.0,16501.0
