0,1,2,3,4,5,6,7,8,9
13075.0,0.0,655.0,0.0,0.0,1681.0,998.0,1220.0,9386.0,2985.0
3083.0,1.0,853.0,0.0,5.0,3328.0,2273.0,2652.0,9210.0,8595.0
4776.0,0.0,1827.0,0.0,1.0,7540.0,8600.0,2462.0,1674.0,3120.0
2557.0,0.0,1680.0,0.0,3.0,11386.0,6581.0,2575.0,1428.0,3790.0
2560.0,0.0,760.0,0.0,1.0,6090.0,13686.0,2960.0,1614.0,2329.0
2178.0,0.0,1139.0,0.0,0.0,14831.0,5780.0,2392.0,1286.0,2394.0
1482.0,0.0,720.0,0.0,4.0,5259.0,17251.0,2660.0,385.0,2239.0
2085.0,0.0,862.0,0.0,0.0,6030.0,4871.0,8421.0,1875.0,5856.0
4091.0,1.0,410.0,0.0,0.0,2171.0,374.0,1226.0,17262.0,4465.0
2178.0,0.0,451.0,0.0,1.0,1978.0,1580.0,2617.0,5617.0,15578.0
