acc,precision,recall,f1score_micro,f1score_macro
0.3201,0.35027614,0.3201,0.3201,0.28492618
0.4526,0.47371465,0.4526,0.4526,0.42714626
0.5238,0.58474016,0.5238,0.5238,0.5051489
0.64750004,0.68542117,0.64750004,0.6475,0.64217836
0.6976,0.73270416,0.6976,0.6976,0.69821143
0.77040005,0.7798574,0.77040005,0.7704,0.7655956
0.79349995,0.8179031,0.79349995,0.7935,0.79683745
0.8099,0.8153231,0.8099,0.8099,0.80788994
0.823,0.8254993,0.823,0.823,0.8219031
0.82449996,0.8326354,0.82449996,0.8245,0.8259448
0.8563,0.8558998,0.8563,0.8563,0.85537195
0.857,0.863526,0.857,0.857,0.85850894
0.8568999,0.8618307,0.8568999,0.8569,0.85653055
0.8695,0.8711338,0.8695,0.8695,0.86923975
0.8519,0.86170936,0.8519,0.8519,0.8529904
0.8789,0.8804783,0.8789,0.8789,0.8791097
0.8836,0.88372123,0.8836,0.8836,0.8834481
0.87770003,0.87753457,0.87770003,0.8777,0.8766342
0.8836,0.88743,0.8836,0.8836,0.88452464
0.87799996,0.8821568,0.87799996,0.878,0.87898785
0.88769996,0.887429,0.88769996,0.8877,0.8871126
0.88759995,0.8885418,0.88759995,0.8876,0.8874041
0.8914,0.8919031,0.8914,0.8914,0.891405
0.89350003,0.8935288,0.89350003,0.8935,0.89343166
0.89379996,0.8956672,0.89379996,0.8938,0.8943424
0.895,0.8970686,0.895,0.895,0.8954888
0.895,0.8953506,0.895,0.895,0.89507365
0.8934,0.8934149,0.8934,0.8934,0.8931502
0.8958,0.8960135,0.8958,0.8958,0.89587426
0.8958,0.89695096,0.8958,0.8958,0.896048
0.89619994,0.89647704,0.89619994,0.8962,0.8962362
0.89750004,0.8979098,0.89750004,0.8975,0.897539
0.89610004,0.8963494,0.89610004,0.8961,0.8960192
0.8972,0.8975826,0.8972,0.8972,0.89726216
0.8952,0.8960175,0.8952,0.8952,0.89539206
0.8973,0.89766693,0.8973,0.8973,0.8973973
0.89750004,0.8980309,0.89750004,0.8975,0.89766306
0.8977001,0.89801073,0.8977001,0.8977,0.8977652
0.8973,0.89766026,0.8973,0.8973,0.89736986
0.89779997,0.898119,0.89779997,0.8978,0.8978984
0.8972,0.89799917,0.8972,0.8972,0.897441
0.8972,0.8976148,0.8972,0.8972,0.8973291
0.897,0.8976007,0.897,0.897,0.8971756
0.89790004,0.89831173,0.89790004,0.8979,0.89804566
0.89760005,0.89799,0.89760005,0.8976,0.8977004
0.8987,0.89913875,0.8987,0.8987,0.8988336
0.8984,0.89869106,0.8984,0.8984,0.89842707
0.8996,0.9000633,0.8996,0.8996,0.8997414
0.8982,0.89866996,0.8982,0.8982,0.89830977
0.8988,0.89928985,0.8988,0.8988,0.89895326
