acc,precision,recall,f1score_micro,f1score_macro
0.3087,0.3428411,0.3087,0.3087,0.28693187
0.4149,0.4486429,0.4149,0.4149,0.4041928
0.5127,0.53054285,0.5127,0.5127,0.50243616
0.5667,0.59020895,0.5667,0.5667,0.55675375
0.5959,0.63265115,0.5959,0.5959,0.58770317
0.69060004,0.7009913,0.69060004,0.6906,0.6878654
0.72260004,0.7362275,0.72260004,0.7226,0.7228031
0.74549997,0.7539447,0.74549997,0.7455,0.7434303
0.754,0.7580794,0.754,0.754,0.749266
0.7831,0.79613686,0.7831,0.7831,0.7858933
0.81070006,0.81674844,0.81070006,0.8107,0.811762
0.80869997,0.8169926,0.80869997,0.8087,0.81074536
0.82280004,0.82408285,0.82280004,0.8228,0.8227389
0.81869996,0.82792103,0.81869996,0.8187,0.8199487
0.81869996,0.82867277,0.81869996,0.8187,0.8209295
0.84860003,0.8514465,0.84860003,0.8486,0.8489009
0.84799993,0.84991014,0.84799993,0.848,0.84747005
0.84309995,0.84441984,0.84309995,0.8431,0.8430512
0.8522,0.8579049,0.8522,0.8522,0.8538173
0.849,0.8489235,0.849,0.849,0.84777427
0.8584,0.8580708,0.8584,0.8584,0.8577914
0.8609,0.8602797,0.8609,0.8609,0.859984
0.8625,0.8636959,0.8625,0.8625,0.86269903
0.86069995,0.8624643,0.86069995,0.8607,0.8611536
0.868,0.8697541,0.868,0.868,0.8683635
0.863,0.86776793,0.863,0.863,0.8640108
0.8668,0.8666476,0.8668,0.8668,0.8665559
0.8679,0.867909,0.8679,0.8679,0.8676243
0.867,0.86778164,0.867,0.867,0.86727214
0.86829996,0.87230664,0.86829996,0.8683,0.8692991
0.8711,0.8716992,0.8711,0.8711,0.87121344
0.87160003,0.87194836,0.87160003,0.8716,0.8716585
0.8718,0.8719691,0.8718,0.8718,0.871753
0.8713,0.8715086,0.8713,0.8713,0.871197
0.87160003,0.87199616,0.87160003,0.8716,0.8717158
0.8726,0.8733754,0.8726,0.8726,0.8728196
0.87219995,0.8735018,0.87219995,0.8722,0.8725602
0.8723,0.87302715,0.8723,0.8723,0.87256324
0.8727,0.87315696,0.8727,0.8727,0.8728394
0.87229997,0.87265027,0.87229997,0.8723,0.87237704
0.87160003,0.8728808,0.87160003,0.8716,0.8720338
0.8729,0.87391376,0.8729,0.8729,0.87328446
0.87160003,0.8724278,0.87160003,0.8716,0.8718773
0.8724,0.87334263,0.8724,0.8724,0.87275237
0.8722,0.87319493,0.8722,0.8722,0.87254226
0.87299997,0.87395257,0.87299997,0.873,0.8733008
0.8732,0.8735558,0.8732,0.8732,0.8732399
0.87329996,0.874092,0.87329996,0.8733,0.8735807
0.8729,0.87387764,0.8729,0.8729,0.8732829
0.8735,0.87399656,0.8735,0.8735,0.87366295
