acc,precision,recall,f1score_micro,f1score_macro
0.2618,0.26907402,0.2618,0.2618,0.22168514
0.39499998,0.4402503,0.39499998,0.395,0.3667884
0.4509,0.49921095,0.4509,0.4509,0.43517572
0.5439,0.5433259,0.5439,0.5439,0.5338682
0.57490003,0.61059153,0.57490003,0.5749,0.5765722
0.6541,0.67885274,0.6541,0.6541,0.6520458
0.6907,0.71605384,0.6907,0.6907,0.6932322
0.72040004,0.72870684,0.72040004,0.7204,0.7206455
0.73010004,0.7500392,0.73010004,0.7301,0.7301374
0.7458,0.76019454,0.7458,0.7458,0.7464688
0.7823,0.79185104,0.7823,0.7823,0.78374326
0.80060005,0.80485207,0.80060005,0.8006,0.801566
0.78709996,0.80423874,0.78709996,0.7871,0.789613
0.8181,0.81935537,0.8181,0.8181,0.8180195
0.7915,0.81285393,0.7915,0.7915,0.7958745
0.8343,0.8375427,0.8343,0.8343,0.83511007
0.8345,0.83944035,0.8345,0.8345,0.83506143
0.83070004,0.8330461,0.83070004,0.8307,0.8304471
0.8412,0.8421587,0.8412,0.8412,0.8407392
0.84010005,0.8422595,0.84010005,0.8401,0.8399483
0.85150003,0.8526956,0.85150003,0.8515,0.8513703
0.8541,0.855424,0.8541,0.8541,0.85431564
0.85450006,0.8554372,0.85450006,0.8545,0.85473067
0.85580003,0.8555891,0.85580003,0.8558,0.8551897
0.8575,0.861558,0.8575,0.8575,0.8586544
0.8581,0.8613465,0.8581,0.8581,0.85906315
0.86149997,0.86205953,0.86149997,0.8615,0.86144155
0.86289996,0.86312884,0.86289996,0.8629,0.8625104
0.8643,0.8641227,0.8643,0.8643,0.8640743
0.8634,0.86489487,0.8634,0.8634,0.86377853
0.8682,0.8685124,0.8682,0.8682,0.86817086
0.86759996,0.86797476,0.86759996,0.8676,0.8674312
0.8674,0.86748993,0.8674,0.8674,0.86724514
0.86800003,0.868501,0.86800003,0.868,0.86817884
0.86550003,0.86624706,0.86550003,0.8655,0.86569405
0.86980003,0.87054896,0.86980003,0.8698,0.8700472
0.8677,0.8683739,0.8677,0.8677,0.86791325
0.86869997,0.86879086,0.86869997,0.8687,0.86870337
0.868,0.8686173,0.868,0.868,0.86805516
0.86950004,0.87007654,0.86950004,0.8695,0.8696686
0.8689,0.87006545,0.8689,0.8689,0.86929816
0.8689,0.87017065,0.8689,0.8689,0.86932975
0.8697,0.87059784,0.8697,0.8697,0.86995274
0.8687,0.86966556,0.8687,0.8687,0.86905646
0.8697,0.8705068,0.8697,0.8697,0.8700006
0.8681,0.8689725,0.8681,0.8681,0.8683969
0.8694,0.8698504,0.8694,0.8694,0.8694943
0.8689,0.8704145,0.8689,0.8689,0.86946595
0.86969995,0.8704834,0.86969995,0.8697,0.86993575
0.8700999,0.8711079,0.8700999,0.8701,0.87046266
