acc,precision,recall,f1score_micro,f1score_macro
0.3459,0.36684203,0.3459,0.3459,0.32309192
0.3596,0.39540023,0.3596,0.3596,0.3323719
0.36540002,0.3870539,0.36540002,0.3654,0.33464387
0.371,0.4021104,0.371,0.371,0.35271758
0.3869,0.40962982,0.3869,0.3869,0.37432778
0.4414,0.4500416,0.4414,0.4414,0.43467534
0.455,0.4664482,0.455,0.455,0.4506444
0.4361,0.4505669,0.4361,0.4361,0.41428262
0.459,0.48521775,0.459,0.459,0.44353688
0.4795,0.49155813,0.4795,0.4795,0.46995413
0.50600004,0.5034551,0.50600004,0.506,0.4961036
0.5052,0.509328,0.5052,0.5052,0.4991389
0.5024,0.51479894,0.5024,0.5024,0.49060503
0.5137,0.5233307,0.5137,0.5137,0.51495636
0.5229,0.5267975,0.5229,0.5229,0.5177174
0.52680004,0.54396784,0.52680004,0.5268,0.52497274
0.53279996,0.53562105,0.53279996,0.5328,0.5292373
0.5338,0.5412564,0.5338,0.5338,0.5287791
0.5295,0.5423083,0.5295,0.5295,0.52929235
0.5374,0.53747904,0.5374,0.5374,0.53312016
0.5528,0.55432427,0.5528,0.5528,0.55019754
0.5521,0.55448914,0.5521,0.5521,0.5487586
0.5543,0.5512601,0.5543,0.5543,0.55099714
0.553,0.5574499,0.553,0.553,0.5504315
0.5458,0.544935,0.5458,0.5458,0.5396764
0.5603,0.56023407,0.5603,0.5603,0.5589986
0.5556,0.55797714,0.5556,0.5556,0.5538416
0.5641,0.5622779,0.5641,0.5641,0.56169397
0.5617,0.56365037,0.5617,0.5617,0.5584705
0.5648,0.56414807,0.5648,0.5648,0.56152797
0.56780005,0.5694977,0.56780005,0.5678,0.5666666
0.5648,0.56523925,0.5648,0.5648,0.56168747
0.5674,0.564874,0.5674,0.5674,0.5651518
0.5676,0.5648754,0.5676,0.5676,0.5641453
0.5692,0.5664616,0.5692,0.5692,0.5648539
0.5727,0.571058,0.5727,0.5727,0.57111
0.5719,0.57140166,0.5719,0.5719,0.57080865
0.5682,0.5649775,0.5682,0.5682,0.56412625
0.57119995,0.5684372,0.57119995,0.5712,0.5670828
0.5696,0.5663229,0.5696,0.5696,0.5658082
0.5712,0.5695891,0.5712,0.5712,0.56917626
0.5696,0.56673324,0.5696,0.5696,0.56647855
0.5714,0.5683812,0.5714,0.5714,0.56861293
0.56729996,0.567477,0.56729996,0.5673,0.5649545
0.5692,0.5657893,0.5692,0.5692,0.5661874
0.5722,0.57035977,0.5722,0.5722,0.5701046
0.57,0.5672596,0.57,0.57,0.566817
0.5711,0.5698349,0.5711,0.5711,0.56893384
0.5721,0.5695078,0.5721,0.5721,0.5696063
0.5744,0.57217705,0.5744,0.5744,0.57213044
