acc,precision,recall,f1score_micro,f1score_macro
0.3048,0.3047387,0.3048,0.3048,0.2591258
0.4288,0.44299886,0.4288,0.4288,0.41171086
0.50320005,0.55221957,0.50320005,0.5032,0.49767727
0.59849995,0.6252232,0.59849995,0.5985,0.587765
0.6012,0.64365697,0.6012,0.6012,0.5991554
0.7152,0.72014123,0.7152,0.7152,0.7144454
0.7355,0.7551464,0.7355,0.7355,0.7384367
0.7543,0.7638665,0.7543,0.7543,0.7558646
0.7751,0.77932584,0.7751,0.7751,0.7748884
0.7852,0.8022289,0.7852,0.7852,0.78694785
0.8167,0.8158194,0.8167,0.8167,0.8151348
0.8186,0.82789755,0.8186,0.8186,0.82050896
0.822,0.82769597,0.822,0.822,0.82215154
0.8313,0.8362348,0.8313,0.8313,0.83202976
0.8215,0.8327393,0.8215,0.8215,0.824633
0.848,0.850163,0.848,0.848,0.8485297
0.85150003,0.85203254,0.85150003,0.8515,0.85150903
0.85220003,0.8521584,0.85220003,0.8522,0.85161376
0.85220003,0.85720557,0.85220003,0.8522,0.8532811
0.84910005,0.8509064,0.84910005,0.8491,0.84847355
0.85940003,0.8590882,0.85940003,0.8594,0.8586541
0.8642,0.86404943,0.8642,0.8642,0.8635739
0.8637999,0.86457646,0.8637999,0.8638,0.863863
0.86669993,0.86726785,0.86669993,0.8667,0.86682487
0.8627,0.86680835,0.8627,0.8627,0.8636365
0.86730003,0.8709862,0.86730003,0.8673,0.8678886
0.8668,0.86703587,0.8668,0.8668,0.86668855
0.8673,0.86796266,0.8673,0.8673,0.86735463
0.8664,0.86814785,0.8664,0.8664,0.86689293
0.86759996,0.8689008,0.86759996,0.8676,0.8678828
0.8697,0.86978257,0.8697,0.8697,0.8696271
0.86969995,0.8698041,0.86969995,0.8697,0.86956656
0.86950004,0.8693603,0.86950004,0.8695,0.8693043
0.8711,0.8715272,0.8711,0.8711,0.87110806
0.8729,0.8735929,0.8729,0.8729,0.87310094
0.87160003,0.8724663,0.87160003,0.8716,0.8719061
0.8711,0.87230223,0.8711,0.8711,0.87142235
0.8701999,0.8710229,0.8701999,0.8702,0.87047774
0.8722,0.872735,0.8722,0.8722,0.87231183
0.8725,0.87269294,0.8725,0.8725,0.872505
0.87160003,0.87272817,0.87160003,0.8716,0.87196076
0.8725,0.8734007,0.8725,0.8725,0.8727986
0.87249994,0.8733996,0.87249994,0.8725,0.8727926
0.87240005,0.87265897,0.87240005,0.8724,0.8724287
0.8725,0.8730078,0.8725,0.8725,0.8726548
0.8715,0.8719975,0.8715,0.8715,0.87161416
0.8722,0.8724408,0.8722,0.8722,0.87216675
0.87319994,0.8737178,0.87319994,0.8732,0.87335324
0.87390006,0.87426066,0.87390006,0.8739,0.8739571
0.87369996,0.8739088,0.87369996,0.8737,0.87373847
