acc,precision,recall,f1score_micro,f1score_macro
0.35329998,0.36483067,0.35329998,0.3533,0.34881246
0.3805,0.3945282,0.3805,0.3805,0.36351633
0.3734,0.3782741,0.3734,0.3734,0.35960615
0.3263,0.37259656,0.3263,0.3263,0.2948816
0.3735,0.39309907,0.3735,0.3735,0.3493352
0.41750002,0.41299704,0.41750002,0.4175,0.39976317
0.43490002,0.450361,0.43490002,0.4349,0.4267519
0.4349,0.4369311,0.4349,0.4349,0.4210198
0.4407,0.4493211,0.4407,0.4407,0.43018627
0.4267,0.43906268,0.4267,0.4267,0.41226506
0.44439998,0.45649004,0.44439998,0.4444,0.4350771
0.46069998,0.4652669,0.46069998,0.4607,0.45504847
0.4421,0.45775044,0.4421,0.4421,0.41594207
0.46940005,0.47777978,0.46940005,0.4694,0.4629803
0.4742,0.4877655,0.4742,0.4742,0.46928543
0.4887,0.49205595,0.4887,0.4887,0.4844737
0.49670002,0.49602634,0.49670002,0.4967,0.48948783
0.4913,0.49711952,0.4913,0.4913,0.48602918
0.4978,0.49966368,0.4978,0.4978,0.49179196
0.48939997,0.5024301,0.48939997,0.4894,0.48793504
0.5093,0.5097116,0.5093,0.5093,0.50694776
0.50229996,0.5114833,0.50229996,0.5023,0.500805
0.5039,0.50032496,0.5039,0.5039,0.4941734
0.5109,0.51561254,0.5109,0.5109,0.5102649
0.5119,0.5074493,0.5119,0.5119,0.50538325
0.5136,0.5089962,0.5136,0.5136,0.5094474
0.5147,0.5140469,0.5147,0.5147,0.51124024
0.5169,0.51206225,0.5169,0.5169,0.5102751
0.5176,0.5156695,0.5176,0.5176,0.5124885
0.5177,0.51925826,0.5177,0.5177,0.51180345
0.5197,0.518587,0.5197,0.5197,0.5164633
0.52059996,0.5187504,0.52059996,0.5206,0.5165396
0.51960003,0.5174971,0.51960003,0.5196,0.5149816
0.52349997,0.5229864,0.52349997,0.5235,0.5204501
0.522,0.517995,0.522,0.522,0.5156134
0.5241,0.52165246,0.5241,0.5241,0.5215588
0.5244,0.52334225,0.5244,0.5244,0.5224329
0.5254,0.52278787,0.5254,0.5254,0.52067494
0.5263,0.52203757,0.5263,0.5263,0.52130616
0.5253,0.52150476,0.5253,0.5253,0.5206034
0.52720004,0.5248008,0.52720004,0.5272,0.52425873
0.52610004,0.5224195,0.52610004,0.5261,0.5214797
0.52769995,0.52398765,0.52769995,0.5277,0.52376735
0.5273,0.524842,0.5273,0.5273,0.5236887
0.5259,0.5226058,0.5259,0.5259,0.5220895
0.52639997,0.5231316,0.52639997,0.5264,0.5233357
0.5259,0.5231267,0.5259,0.5259,0.522218
0.5267,0.5239632,0.5267,0.5267,0.52288926
0.5267,0.52306044,0.5267,0.5267,0.5230795
0.5273,0.52416897,0.5273,0.5273,0.52357394
