acc,precision,recall,f1score_micro,f1score_macro
0.3502,0.36284718,0.3502,0.3502,0.34394175
0.3692,0.41207516,0.3692,0.3692,0.36397117
0.4148,0.42893755,0.4148,0.4148,0.3959549
0.405,0.4239592,0.405,0.405,0.3991133
0.39609998,0.40078816,0.39609998,0.3961,0.38042966
0.4593,0.47813073,0.4593,0.4593,0.4509079
0.4612,0.47546345,0.4612,0.4612,0.4581511
0.4769,0.47399944,0.4769,0.4769,0.4533209
0.467,0.4831975,0.467,0.467,0.45829588
0.4846,0.4914075,0.4846,0.4846,0.475895
0.5053,0.50891674,0.5053,0.5053,0.4975831
0.5275,0.5301191,0.5275,0.5275,0.5256344
0.519,0.52680975,0.519,0.519,0.51166
0.52769995,0.5324762,0.52769995,0.5277,0.5276657
0.5186,0.5349733,0.5186,0.5186,0.5176107
0.5384,0.54732466,0.5384,0.5384,0.5387544
0.53970003,0.5416869,0.53970003,0.5397,0.53528124
0.5447,0.5538305,0.5447,0.5447,0.53986657
0.5464,0.5526992,0.5464,0.5464,0.5454797
0.5424,0.5465483,0.5424,0.5424,0.54024786
0.56060004,0.56531554,0.56060004,0.5606,0.56090796
0.56530005,0.5671012,0.56530005,0.5653,0.5619292
0.56630003,0.5640322,0.56630003,0.5663,0.5622741
0.5678,0.5706705,0.5678,0.5678,0.56769717
0.56229997,0.5640036,0.56229997,0.5623,0.5590956
0.5714,0.57261944,0.5714,0.5714,0.5706691
0.57069993,0.5711133,0.57069993,0.5707,0.5697292
0.5761,0.572044,0.5761,0.5761,0.57258
0.5733,0.5740491,0.5733,0.5733,0.5721347
0.5735,0.57839376,0.5735,0.5735,0.57369584
0.578,0.5776389,0.578,0.578,0.57672054
0.57939994,0.5776997,0.57939994,0.5794,0.5770995
0.5806,0.5798775,0.5806,0.5806,0.5792717
0.581,0.5797807,0.581,0.581,0.5785828
0.5814,0.57820314,0.5814,0.5814,0.57815623
0.5837,0.58291876,0.5837,0.5837,0.5826764
0.5819,0.58042026,0.5819,0.5819,0.5807527
0.5831,0.5794425,0.5831,0.5831,0.5799017
0.5818,0.579774,0.5818,0.5818,0.5787791
0.5837,0.5800829,0.5837,0.5837,0.58107996
0.5846,0.5834943,0.5846,0.5846,0.58319926
0.5834,0.58183604,0.5834,0.5834,0.5816306
0.5842,0.5818565,0.5842,0.5842,0.58212304
0.58210003,0.5822897,0.58210003,0.5821,0.58076864
0.5853,0.5840297,0.5853,0.5853,0.5836623
0.5838,0.58198595,0.5838,0.5838,0.5821694
0.5836,0.5818221,0.5836,0.5836,0.5818947
0.58430004,0.58298385,0.58430004,0.5843,0.582718
0.5861,0.5845564,0.5861,0.5861,0.5847595
0.5858,0.58357567,0.5858,0.5858,0.5836451
