acc,precision,recall,f1score_micro,f1score_macro
0.3214,0.34842536,0.3214,0.3214,0.27615833
0.4321,0.44545302,0.4321,0.4321,0.40200973
0.4826,0.5137324,0.4826,0.4826,0.4634065
0.55410004,0.58313894,0.55410004,0.5541,0.53336436
0.6359,0.64639384,0.6359,0.6359,0.63041043
0.69920003,0.7112273,0.69920003,0.6992,0.6980945
0.71980006,0.74171984,0.71980006,0.7198,0.72042453
0.7494,0.7594785,0.7494,0.7494,0.7496561
0.75479996,0.77098507,0.75479996,0.7548,0.7561007
0.78569996,0.7935213,0.78569996,0.7857,0.78535885
0.804,0.80392015,0.804,0.804,0.8026211
0.8029001,0.8139577,0.8029001,0.8029,0.8056808
0.8125,0.81787944,0.8125,0.8125,0.8128786
0.8166,0.82818496,0.8166,0.8166,0.81976783
0.81790006,0.8252736,0.81790006,0.8179,0.81970596
0.83919996,0.84125745,0.83919996,0.8392,0.8393489
0.8424,0.8431612,0.8424,0.8424,0.8413843
0.83599997,0.8387085,0.83599997,0.836,0.83661366
0.8425,0.84860015,0.8425,0.8425,0.8441614
0.844,0.84497935,0.844,0.844,0.844028
0.8507,0.85208714,0.8507,0.8507,0.8509384
0.8534,0.85398006,0.8534,0.8534,0.8532234
0.85469997,0.856302,0.85469997,0.8547,0.8551202
0.8522,0.8519407,0.8522,0.8522,0.8515252
0.8545,0.8568816,0.8545,0.8545,0.85508084
0.8585,0.86154175,0.8585,0.8585,0.8590062
0.8578,0.85811174,0.8578,0.8578,0.8578657
0.85870004,0.85890704,0.85870004,0.8587,0.85851264
0.86029994,0.8611813,0.86029994,0.8603,0.8606282
0.85760003,0.85856175,0.85760003,0.8576,0.8578639
0.8615,0.8613575,0.8615,0.8615,0.8613063
0.861,0.86090744,0.861,0.861,0.86081076
0.8634,0.8633671,0.8634,0.8634,0.86333466
0.85980004,0.8604764,0.85980004,0.8598,0.86000365
0.85969996,0.86087555,0.85969996,0.8597,0.86007106
0.862,0.8623773,0.862,0.862,0.8620299
0.8607,0.86141396,0.8607,0.8607,0.86088073
0.86020005,0.8609053,0.86020005,0.8602,0.8604443
0.86270005,0.86298436,0.86270005,0.8627,0.86275256
0.8616,0.8620981,0.8616,0.8616,0.861711
0.86140007,0.8625628,0.86140007,0.8614,0.8617966
0.86259997,0.863403,0.86259997,0.8626,0.8628899
0.86179996,0.8624126,0.86179996,0.8618,0.861948
0.8603,0.861025,0.8603,0.8603,0.8605744
0.86340004,0.86408126,0.86340004,0.8634,0.86359894
0.8616,0.8618797,0.8616,0.8616,0.86166143
0.8633,0.8633039,0.8633,0.8633,0.86318445
0.8634,0.8640024,0.8634,0.8634,0.8636205
0.8626,0.8630817,0.8626,0.8626,0.8627507
0.8628,0.863492,0.8628,0.8628,0.863067
