acc,precision,recall,f1score_micro,f1score_macro
0.36270002,0.37339818,0.36270002,0.3627,0.35714886
0.3887,0.40444845,0.3887,0.3887,0.38158262
0.401,0.41177836,0.401,0.401,0.38480377
0.40100002,0.4246742,0.40100002,0.401,0.39146823
0.35469997,0.3706763,0.35469997,0.3547,0.3235968
0.45299998,0.46279234,0.45299998,0.453,0.44309077
0.43490002,0.45550567,0.43490002,0.4349,0.43265653
0.449,0.46036518,0.449,0.449,0.431942
0.4583,0.47518083,0.4583,0.4583,0.44994792
0.4566,0.4772631,0.4566,0.4566,0.45091254
0.4923,0.49290282,0.4923,0.4923,0.48449248
0.4917,0.5157062,0.4917,0.4917,0.49204132
0.49580002,0.49876195,0.49580002,0.4958,0.48833546
0.5022,0.5116774,0.5022,0.5022,0.49996012
0.5063,0.515445,0.5063,0.5063,0.507969
0.5015,0.5146265,0.5015,0.5015,0.49903145
0.5222,0.5259609,0.5222,0.5222,0.51802146
0.52610004,0.5306611,0.52610004,0.5261,0.52138716
0.5187,0.51605,0.5187,0.5187,0.5126751
0.5309,0.5366064,0.5309,0.5309,0.5294516
0.5325,0.533473,0.5325,0.5325,0.5314116
0.53830004,0.5404159,0.53830004,0.5383,0.53370315
0.54050004,0.53554183,0.54050004,0.5405,0.5358177
0.5396,0.5437524,0.5396,0.5396,0.538183
0.5286,0.5289695,0.5286,0.5286,0.5238164
0.5435,0.5441457,0.5435,0.5435,0.54157317
0.5464,0.54574025,0.5464,0.5464,0.5446292
0.5499,0.54489625,0.5499,0.5499,0.5449947
0.5525,0.5514566,0.5525,0.5525,0.5499401
0.5518,0.5513809,0.5518,0.5518,0.5492226
0.5489,0.54757005,0.5489,0.5489,0.54601556
0.5522,0.55005324,0.5522,0.5522,0.54923624
0.5531,0.5528414,0.5531,0.5531,0.55054206
0.5539,0.5520696,0.5539,0.5539,0.5501113
0.55280006,0.550058,0.55280006,0.5528,0.54922515
0.55509996,0.5539078,0.55509996,0.5551,0.55273855
0.55289996,0.5503355,0.55289996,0.5529,0.55027044
0.5549,0.5508531,0.5549,0.5549,0.55014527
0.5538,0.54953456,0.5538,0.5538,0.54948324
0.5556,0.5513346,0.5556,0.5556,0.55160713
0.5569,0.5541989,0.5569,0.5569,0.55421185
0.5566,0.55311966,0.5566,0.5566,0.55328655
0.5558,0.5521492,0.5558,0.5558,0.55240595
0.5534,0.5525939,0.5534,0.5534,0.55027056
0.5567,0.5545433,0.5567,0.5567,0.55406034
0.55689996,0.55414635,0.55689996,0.5569,0.5540332
0.55560005,0.5525241,0.55560005,0.5556,0.55254495
0.555,0.5524963,0.555,0.555,0.551944
0.5553,0.5531044,0.5553,0.5553,0.5526614
0.556,0.5529102,0.556,0.556,0.55270135
