acc,precision,recall,f1score_micro,f1score_macro
0.3071,0.34326226,0.3071,0.3071,0.26558858
0.442,0.45310345,0.442,0.442,0.4227423
0.50479996,0.53289056,0.50479996,0.5048,0.48603153
0.6019,0.6386191,0.6019,0.6019,0.59387434
0.704,0.72105396,0.704,0.704,0.7058064
0.75240004,0.7709124,0.75240004,0.7524,0.7479109
0.78,0.8011685,0.78,0.78,0.7805886
0.7976,0.7999393,0.7976,0.7976,0.79727554
0.7928,0.8027852,0.7928,0.7928,0.7937483
0.8204,0.8266354,0.8204,0.8204,0.82134056
0.8347,0.8360808,0.8347,0.8347,0.8332427
0.83669996,0.8447532,0.83669996,0.8367,0.83827156
0.8402,0.84422654,0.8402,0.8402,0.84016186
0.84260005,0.84850574,0.84260005,0.8426,0.8433715
0.83590007,0.84537745,0.83590007,0.8359,0.8373197
0.86170006,0.8624215,0.86170006,0.8617,0.86155236
0.8659,0.8665615,0.8659,0.8659,0.8656479
0.8624,0.8629436,0.8624,0.8624,0.8620967
0.8694,0.8723273,0.8694,0.8694,0.87013304
0.8643,0.8644773,0.8643,0.8643,0.86383444
0.8731,0.87258244,0.8731,0.8731,0.8725076
0.8733,0.87432945,0.8733,0.8733,0.87284285
0.8762999,0.87811804,0.8762999,0.8763,0.87686926
0.8758,0.87638414,0.8758,0.8758,0.8757137
0.87869996,0.87983537,0.87869996,0.8787,0.8790629
0.8773,0.87934023,0.8773,0.8773,0.8776233
0.8776,0.87836087,0.8776,0.8776,0.87779236
0.87709993,0.8772932,0.87709993,0.8771,0.8767431
0.8793,0.87930346,0.8793,0.8793,0.87923896
0.87770003,0.8787683,0.87770003,0.8777,0.87785614
0.8807,0.88078725,0.8807,0.8807,0.8805514
0.8807,0.88058704,0.8807,0.8807,0.88026845
0.88079995,0.8809116,0.88079995,0.8808,0.88064235
0.878,0.8783406,0.878,0.878,0.8780298
0.88079995,0.8813999,0.88079995,0.8808,0.88087773
0.88130003,0.8817127,0.88130003,0.8813,0.8813593
0.8816,0.88190985,0.8816,0.8816,0.88158506
0.8787,0.8790124,0.8787,0.8787,0.8787379
0.88,0.8803821,0.88,0.88,0.8799088
0.8818,0.8819425,0.8818,0.8818,0.88178253
0.87979996,0.88058496,0.87979996,0.8798,0.8800208
0.8806,0.8812102,0.8806,0.8806,0.88075346
0.88049996,0.88080657,0.88049996,0.8805,0.8804833
0.8796,0.88008213,0.8796,0.8796,0.8797258
0.8821,0.8822198,0.8821,0.8821,0.8820628
0.8813,0.8816252,0.8813,0.8813,0.8813348
0.88119996,0.8812835,0.88119996,0.8812,0.8810617
0.883,0.8831699,0.883,0.883,0.88298476
0.88199997,0.8822697,0.88199997,0.882,0.8819897
0.88049996,0.8808229,0.88049996,0.8805,0.8804748
