acc,precision,recall,f1score_micro,f1score_macro
0.3717,0.4012217,0.3717,0.3717,0.35807067
0.37050003,0.38845274,0.37050003,0.3705,0.3590455
0.4003,0.40478462,0.4003,0.4003,0.38899887
0.37879997,0.42881268,0.37879997,0.3788,0.37651187
0.4092,0.40127516,0.4092,0.4092,0.39113018
0.4354,0.44599214,0.4354,0.4354,0.4224122
0.4476,0.46629798,0.4476,0.4476,0.4469955
0.45949998,0.4588276,0.45949998,0.4595,0.4483267
0.44590002,0.48427972,0.44590002,0.4459,0.42135006
0.4738,0.49688518,0.4738,0.4738,0.46928608
0.5039,0.5167939,0.5039,0.5039,0.49646398
0.51,0.5244856,0.51,0.51,0.5083996
0.5197,0.52347493,0.5197,0.5197,0.51423585
0.5046,0.5163934,0.5046,0.5046,0.49674544
0.5241,0.53951204,0.5241,0.5241,0.5230109
0.5298,0.53949034,0.5298,0.5298,0.5266941
0.54719996,0.5500557,0.54719996,0.5472,0.54702914
0.54219997,0.54806995,0.54219997,0.5422,0.5399983
0.5455,0.54913425,0.5455,0.5455,0.5425363
0.5439,0.5466808,0.5439,0.5439,0.5402297
0.55340004,0.5568687,0.55340004,0.5534,0.5520181
0.5597,0.5622065,0.5597,0.5597,0.5560055
0.5604,0.55829847,0.5604,0.5604,0.55821496
0.5541,0.55340695,0.5541,0.5541,0.5496843
0.55050004,0.55130285,0.55050004,0.5505,0.54625654
0.5598,0.559952,0.5598,0.5598,0.55849534
0.565,0.5629276,0.565,0.565,0.5627345
0.5628,0.5600468,0.5628,0.5628,0.5590952
0.5637,0.5635371,0.5637,0.5637,0.561118
0.5682,0.5679534,0.5682,0.5682,0.565525
0.5638,0.56427044,0.5638,0.5638,0.5625187
0.56729996,0.5669621,0.56729996,0.5673,0.56558365
0.5677,0.56735307,0.5677,0.5677,0.5660161
0.5669,0.5664729,0.5669,0.5669,0.5636349
0.5732,0.5702721,0.5732,0.5732,0.57037884
0.5667,0.5650679,0.5667,0.5667,0.5652109
0.5707,0.5683115,0.5707,0.5707,0.56833416
0.571,0.56875885,0.571,0.571,0.56766176
0.5725,0.5698674,0.5725,0.5725,0.5690147
0.5694,0.5661619,0.5694,0.5694,0.56630516
0.5699,0.56724215,0.5699,0.5699,0.567592
0.5711,0.56721264,0.5711,0.5711,0.5680636
0.5711,0.5681695,0.5711,0.5711,0.56895
0.5688,0.56863296,0.5688,0.5688,0.5671182
0.5706,0.56799877,0.5706,0.5706,0.56778795
0.5736,0.57126045,0.5736,0.5736,0.5716469
0.5726,0.57009804,0.5726,0.5726,0.57052326
0.5725,0.5698812,0.5725,0.5725,0.5701567
0.5736,0.5711244,0.5736,0.5736,0.5717515
0.5737,0.569718,0.5737,0.5737,0.570779
