acc,precision,recall,f1score_micro,f1score_macro
0.357,0.38583893,0.357,0.357,0.3405527
0.3308,0.36269212,0.3308,0.3308,0.29658267
0.4056,0.40337068,0.4056,0.4056,0.39111558
0.3958,0.4160797,0.3958,0.3958,0.37165177
0.4128,0.4070616,0.4128,0.4128,0.3950435
0.4561,0.4696741,0.4561,0.4561,0.44814062
0.463,0.47957736,0.463,0.463,0.45635772
0.4482,0.459716,0.4482,0.4482,0.4312767
0.42850003,0.47504926,0.42850003,0.4285,0.41304183
0.47140002,0.48600316,0.47140002,0.4714,0.46774963
0.47680002,0.5023616,0.47680002,0.4768,0.46964812
0.49259996,0.49947986,0.49259996,0.4926,0.4894547
0.5068,0.50747865,0.5068,0.5068,0.5014608
0.50879997,0.5148742,0.50879997,0.5088,0.50014585
0.519,0.52356005,0.519,0.519,0.5163398
0.525,0.5326284,0.525,0.525,0.52028966
0.5273,0.52739835,0.5273,0.5273,0.5240147
0.53200006,0.5338235,0.53200006,0.532,0.5269029
0.5351,0.5371417,0.5351,0.5351,0.5322751
0.5384,0.5365919,0.5384,0.5384,0.53372276
0.5473,0.5484671,0.5473,0.5473,0.54538256
0.5441,0.54415303,0.5441,0.5441,0.5382266
0.5476,0.54250056,0.5476,0.5476,0.54318184
0.5515,0.5550778,0.5515,0.5515,0.55123484
0.5352,0.5367172,0.5352,0.5352,0.52952874
0.5521,0.551188,0.5521,0.5521,0.5486076
0.5595,0.5577669,0.5595,0.5595,0.55746657
0.55819994,0.55290914,0.55819994,0.5582,0.5535048
0.5583,0.5548065,0.5583,0.5583,0.5552556
0.556,0.55681753,0.556,0.556,0.55337626
0.56049997,0.55818796,0.56049997,0.5605,0.5577425
0.56159997,0.5619725,0.56159997,0.5616,0.56075853
0.56270003,0.5607401,0.56270003,0.5627,0.5608347
0.5636,0.563151,0.5636,0.5636,0.562078
0.5624,0.5586153,0.5624,0.5624,0.5587775
0.56450003,0.56235665,0.56450003,0.5645,0.562524
0.5646,0.56223476,0.5646,0.5646,0.56238544
0.5623,0.55840254,0.5623,0.5623,0.5585084
0.56450003,0.5614028,0.56450003,0.5645,0.5608741
0.5625,0.55775726,0.5625,0.5625,0.55831826
0.56549996,0.56319684,0.56549996,0.5655,0.5633299
0.56409997,0.56127536,0.56409997,0.5641,0.56149745
0.5655,0.56190395,0.5655,0.5655,0.56265056
0.56490004,0.5632242,0.56490004,0.5649,0.5624126
0.5647,0.56181353,0.5647,0.5647,0.5620017
0.5644,0.561651,0.5644,0.5644,0.5616907
0.5631,0.5601888,0.5631,0.5631,0.56026685
0.5632,0.5601036,0.5632,0.5632,0.56036556
0.56490004,0.56229717,0.56490004,0.5649,0.5626254
0.56500006,0.5617713,0.56500006,0.565,0.5622133
