acc,precision,recall,f1score_micro,f1score_macro
0.2944,0.3387279,0.2944,0.2944,0.25861114
0.3946,0.4290967,0.3946,0.3946,0.38378227
0.44599998,0.47218674,0.44599998,0.446,0.42177564
0.5681,0.56743073,0.5681,0.5681,0.5562292
0.61620003,0.63320285,0.61620003,0.6162,0.61418474
0.6978,0.70288146,0.6978,0.6978,0.69577324
0.71099997,0.73125386,0.71099997,0.711,0.7135531
0.7264,0.73819983,0.7264,0.7264,0.7264507
0.7422,0.7474847,0.7422,0.7422,0.74159276
0.76559997,0.77671105,0.76559997,0.7656,0.766924
0.79730004,0.80266905,0.79730004,0.7973,0.7981502
0.8014,0.8112045,0.8014,0.8014,0.80322146
0.8154,0.8209586,0.8154,0.8154,0.8167075
0.82140005,0.8351203,0.82140005,0.8214,0.8236793
0.8103,0.82917535,0.8103,0.8103,0.81346095
0.8546,0.857945,0.8546,0.8546,0.85538745
0.85359997,0.8560803,0.85359997,0.8536,0.8541941
0.85350007,0.852347,0.85350007,0.8535,0.8524325
0.8532,0.8625878,0.8532,0.8532,0.8549182
0.8556,0.8579841,0.8556,0.8556,0.8552575
0.8692,0.87004703,0.8692,0.8692,0.8688818
0.8707,0.8708568,0.8707,0.8707,0.8700998
0.8747,0.8752403,0.8747,0.8747,0.8747015
0.8708,0.87056124,0.8708,0.8708,0.87016225
0.8746,0.8780962,0.8746,0.8746,0.87539953
0.8761,0.8789028,0.8761,0.8761,0.876889
0.8787,0.87886643,0.8787,0.8787,0.87863153
0.8786,0.8791658,0.8786,0.8786,0.87844735
0.8788,0.8792289,0.8788,0.8788,0.87891877
0.8793,0.88283134,0.8793,0.8793,0.87999225
0.8799,0.88010454,0.8799,0.8799,0.8797549
0.8809999,0.88188314,0.8809999,0.881,0.88118404
0.8822,0.8821647,0.8822,0.8822,0.8819844
0.88039994,0.88091075,0.88039994,0.8804,0.880485
0.8792,0.8800433,0.8792,0.8792,0.8793461
0.8827,0.88394105,0.8827,0.8827,0.88312304
0.8822,0.8838963,0.8822,0.8822,0.8826782
0.8807,0.88128686,0.8807,0.8807,0.8808525
0.8819,0.88264024,0.8819,0.8819,0.8820531
0.8819,0.88288236,0.8819,0.8819,0.8822012
0.88069993,0.8828101,0.88069993,0.8807,0.8813962
0.8819,0.88301575,0.8819,0.8819,0.88226634
0.8813,0.88191026,0.8813,0.8813,0.88147616
0.88189995,0.8829215,0.88189995,0.8819,0.8822539
0.8821,0.8833104,0.8821,0.8821,0.8825102
0.88110006,0.8817884,0.88110006,0.8811,0.88125896
0.8825,0.8831225,0.8825,0.8825,0.88268036
0.88269997,0.8839099,0.88269997,0.8827,0.88312507
0.8821,0.8831809,0.8821,0.8821,0.88247526
0.8821,0.88326174,0.8821,0.8821,0.88248
