0,1,2,3,4,5,6,7,8,9
13536.0,3019.0,1364.0,1365.0,295.0,0.0,770.0,0.0,6230.0,3421.0
946.0,17572.0,331.0,1575.0,164.0,0.0,1081.0,0.0,2642.0,5689.0
3351.0,1603.0,8363.0,4945.0,3601.0,0.0,4902.0,0.0,1306.0,1929.0
1328.0,1769.0,2553.0,13517.0,1724.0,0.0,5628.0,0.0,885.0,2596.0
1373.0,1135.0,4194.0,4806.0,7811.0,0.0,7797.0,0.0,954.0,1930.0
1168.0,1949.0,4758.0,13674.0,1862.0,0.0,3945.0,0.0,913.0,1731.0
281.0,799.0,1435.0,4814.0,1728.0,0.0,19139.0,0.0,466.0,1338.0
863.0,2035.0,3488.0,7085.0,3415.0,0.0,3770.0,0.0,896.0,8448.0
4020.0,3073.0,462.0,1745.0,107.0,0.0,285.0,0.0,16092.0,4216.0
980.0,5628.0,535.0,1598.0,181.0,0.0,1277.0,0.0,3504.0,16297.0
