0,1,2,3,4,5,6,7,8,9
12761.0,2834.0,1736.0,653.0,710.0,419.0,652.0,996.0,6890.0,2349.0
2591.0,15639.0,505.0,815.0,201.0,544.0,529.0,599.0,2844.0,5733.0
2553.0,1067.0,7914.0,2388.0,3981.0,3018.0,4979.0,2047.0,1000.0,1053.0
1136.0,943.0,2512.0,5991.0,1950.0,5673.0,6112.0,3339.0,670.0,1674.0
1689.0,415.0,2810.0,1902.0,8573.0,2683.0,6997.0,3645.0,446.0,840.0
608.0,719.0,3071.0,4016.0,1949.0,9262.0,4762.0,3771.0,688.0,1154.0
250.0,550.0,2035.0,2300.0,3821.0,2800.0,15316.0,2038.0,178.0,712.0
925.0,630.0,1428.0,1930.0,1988.0,3485.0,2693.0,14128.0,349.0,2444.0
6820.0,2692.0,581.0,813.0,313.0,367.0,289.0,509.0,15358.0,2258.0
2576.0,7021.0,509.0,953.0,220.0,879.0,550.0,1518.0,2624.0,13150.0
