0,1,2,3,4,5,6,7,8,9
19336.0,3372.0,1.0,1185.0,429.0,955.0,1150.0,0.0,0.0,3572.0
3124.0,18683.0,2.0,578.0,314.0,861.0,1321.0,0.0,0.0,5117.0
4341.0,2500.0,2.0,4365.0,5692.0,5390.0,5272.0,0.0,0.0,2438.0
1615.0,1807.0,0.0,8280.0,3347.0,8057.0,4110.0,0.0,0.0,2784.0
2135.0,1414.0,2.0,2792.0,10785.0,4036.0,6621.0,0.0,0.0,2215.0
1267.0,1064.0,2.0,5579.0,3380.0,14726.0,2393.0,0.0,0.0,1589.0
430.0,864.0,1.0,2572.0,3018.0,1415.0,20270.0,0.0,0.0,1430.0
1625.0,2177.0,1.0,3066.0,5532.0,6253.0,2869.0,0.0,0.0,8477.0
16798.0,4229.0,2.0,1028.0,147.0,983.0,421.0,0.0,0.0,6392.0
2528.0,5922.0,2.0,1343.0,353.0,861.0,1249.0,0.0,0.0,17742.0
