L1 Loss,CE Loss,Focal Loss(γ=0.5),Focal Loss(γ=2.0)
0.0010326183715462685,0.015932075803279877,0.014283695569038392,0.011875919516086578
0.0007868165029585361,0.012223799500465394,0.010151801724433899,0.008349811022281647
0.0007034918014705181,0.010314426137208938,0.00798195042014122,0.007001462976932525
0.0006476641121506691,0.00839635294675827,0.006477572413682938,0.005769893058538437
0.000622980889454484,0.007100601216554642,0.005340058482289314,0.00483069110751152
0.0005596144263446332,0.005670100062489509,0.004012973151803017,0.004114836797118187
0.0005348476235568524,0.005059576743245125,0.0035763718777894974,0.003393483343720436
0.0005144329945743084,0.0045826016992330555,0.0032193292731046677,0.0029803831905126574
0.000507520000860095,0.004133312834501267,0.0029184418049454687,0.002669616825580597
0.00046320026621222494,0.0037885394489765166,0.002672871802151203,0.0023915624937415124
0.0004183164419233799,0.0030814186730980875,0.0021539787310361864,0.0019366598290205001
0.0004007244807109237,0.002811442202627659,0.0019229035595059395,0.0017744200126826764
0.0003934173094108701,0.002650928022712469,0.0018365687383711338,0.001646666361540556
0.0003835796533152461,0.0025107619646191595,0.0017305254796147345,0.001557790814191103
0.0003760512172803283,0.002345071478486061,0.0016085232591629029,0.0014827282150089742
0.000354717756845057,0.0019432901360094546,0.0012803213761746883,0.0012145755004882813
0.00034936762850731613,0.0017810850743949413,0.0011778619982302189,0.001142694565653801
0.00033926929105073213,0.0017255426025390625,0.0010932583133131265,0.0010422915455698966
0.000310891885869205,0.0016123589079082012,0.0010404558883607387,0.0010119802328944205
0.0002883540018647909,0.0015075364224612713,0.000984672586992383,0.0009599157969653607
0.00026664324570447207,0.001272645588517189,0.000780822842232883,0.0008260833552479744
0.00025483015447854996,0.0011686988511681556,0.0007369730467349291,0.0007921964079141617
0.0002435804170742631,0.0010952762319892644,0.0006885457115992904,0.0007522774121165275
0.0002359351591579616,0.001055785454660654,0.0006753759959340095,0.0007287092384696006
0.00023000265574082732,0.0010022924470156431,0.0006274694426730275,0.0007072635187208653
0.00022062118051573634,0.000845364328250289,0.0005400901316851377,0.0006501895964145661
0.00021451427292078733,0.0007991062199324369,0.0005100257354974747,0.0006074477275460959
0.0002093253774754703,0.0007921390125527977,0.0004802353914361447,0.0005989944698289037
0.00020640440180897713,0.0007526029787585139,0.00045216425037011506,0.0005797819668054581
0.00020334014222025872,0.0007379007490724325,0.00046580292504280806,0.000574816040545702
