L1 Loss,CE Loss,Focal Loss(γ=0.5),Focal Loss(γ=2.0)
62.70847201347351,62.61663269996643,62.52686381340027,62.44565439224243
62.17620539665222,62.53122282028198,62.47628355026245,62.46093416213989
62.3544020652771,62.556379556655884,62.487918853759766,62.453857421875
62.27159023284912,62.47761344909668,62.489405393600464,62.46776723861694
62.25972247123718,62.46115756034851,62.4907169342041,62.46332502365112
62.308780908584595,62.43767213821411,62.51468014717102,62.458110332489014
62.13260841369629,62.444995641708374,62.50296425819397,62.46614074707031
62.23520231246948,62.452898263931274,62.499187707901,62.46502947807312
62.251445055007935,62.460033893585205,62.499006271362305,62.45069861412048
62.20899057388306,62.469828605651855,62.504770040512085,62.435720443725586
62.302180767059326,62.469950675964355,62.494935035705566,62.43553423881531
62.26309323310852,62.47158885002136,62.552794456481934,62.432098150253296
62.25582265853882,62.43070673942566,62.535298585891724,62.47895359992981
62.28584885597229,62.44434118270874,62.49128460884094,62.447370290756226
62.29057168960571,62.46016192436218,62.48121213912964,62.44327235221863
62.21930265426636,62.427942991256714,62.45007586479187,62.36668610572815
