CE_train_l,CE_train_a,CE_test_l,CE_test_a,L1_train_l,L1_train_a,L1_test_l,L1_test_a,Focal_2_train_l,Focal_2_train_a,Focal_2_test_l,Focal_2_test_a,Focal_05_train_l,Focal_05_train_a,Focal_05_test_l,Focal_05_test_a
1.9495429919433593,0.2737,1.8680452255249023,0.334,0.13808445447921752,0.10572000000000001,0.10686346216201782,0.10600000000000001,0.4194433847808838,0.17992000000000002,0.36530015716552733,0.2534,0.33347759254455567,0.45464000000000004,0.3374601249694824,0.4647
1.8221708248901367,0.32606,1.7523459930419922,0.3629,0.10914561777114869,0.10174000000000001,0.11024150772094726,0.10020000000000001,0.3390189757537842,0.28934000000000004,0.30132852096557616,0.34500000000000003,0.3318310064697266,0.45910000000000006,0.30466034927368163,0.4974
1.7795264001464843,0.33936000000000005,1.7290958053588867,0.3744,0.10918184869766236,0.10110000000000001,0.10722050056457519,0.1027,0.30327615341186526,0.34792,0.2741108102798462,0.4082,0.33019403755187987,0.46096000000000004,0.3018909378051758,0.509
1.7603174496459961,0.34824000000000005,1.735408497619629,0.3512,0.1099821993637085,0.10072,0.11250326957702637,0.1042,0.2865271041107178,0.38056,0.2580442813873291,0.42800000000000005,0.326834291305542,0.46734000000000003,0.30381635932922363,0.5148
1.766596585998535,0.34672000000000003,1.7972235168457031,0.34940000000000004,0.10956189960479737,0.10104,0.10844228239059449,0.1039,0.27501985256195066,0.40082,0.2546522346496582,0.4349,0.32511858131408694,0.46934000000000003,0.3100046424865723,0.4968
1.6635496313476563,0.38546,1.6285059997558593,0.4007,0.10486666412353515,0.10214000000000001,0.10517641944885255,0.101,0.26094962574005126,0.42810000000000004,0.24379693775177003,0.45480000000000004,0.3106414205932617,0.49338000000000004,0.28890110816955566,0.5311
1.6633623217773437,0.38712,1.5897730361938476,0.4204,0.10464853342056274,0.10056000000000001,0.10563527727127076,0.101,0.2571588190841675,0.43572000000000005,0.23910377044677733,0.4671,0.3060394172286987,0.49776000000000004,0.28756876907348633,0.5321
1.6472007083129883,0.38844,1.5724199630737306,0.43060000000000004,0.10482984264373779,0.10228000000000001,0.10392926864624023,0.1015,0.25384254287719726,0.44258000000000003,0.2327813793182373,0.4766,0.3056279327392578,0.50144,0.28982493953704835,0.5297000000000001
1.629458628540039,0.40036000000000005,1.6333315231323242,0.41290000000000004,0.10494466375350953,0.10300000000000001,0.10774669761657715,0.1,0.2506106938934326,0.44848000000000005,0.23691694984436035,0.4667,0.3042466219329834,0.5055200000000001,0.29033057079315183,0.5327000000000001
1.6096586526489258,0.41126,1.5576197036743165,0.44480000000000003,0.10468871868133545,0.10188000000000001,0.10564839181900025,0.10020000000000001,0.2480994415664673,0.45586000000000004,0.23281216354370118,0.48140000000000005,0.30426453853607177,0.5018600000000001,0.2988304092407227,0.5175000000000001
