training_loss_SGD,training_acc_SGD,testing_loss_SGD,testing_acc_SGD,testing_loss_SGD_S,testing_acc_SGD_S,training_loss_Adam,training_acc_Adam,testing_loss_Adam,testing_acc_Adam,testing_loss_Adam_S,testing_acc_Adam_S
0.011117301411628724,0.28190000000000004,0.00953354594707489,0.36100000000000004,0.013508721113204955,0.24380000000000002,0.01047636892080307,0.33044,0.008639949470758438,0.4223,0.01168545388161242,0.7392000000000001
0.010202732510566711,0.32448000000000005,0.009236004561185836,0.36960000000000004,0.015746803057193757,0.20620000000000002,0.008829199340343475,0.40106,0.007915355098247529,0.4499,0.015543216118944884,0.7171000000000001
0.009732231624126434,0.35114,0.008655999034643173,0.40490000000000004,0.01723048678636551,0.199,0.008426227315664291,0.4228,0.007617415553331375,0.47190000000000004,0.020705667394555212,0.6718000000000001
0.009639916368722915,0.35710000000000003,0.008890929698944092,0.4055,0.02320519688129425,0.1923,0.008113932025432587,0.44072000000000006,0.007321960890293121,0.4928,0.018801168502088784,0.7139
0.0095102261531353,0.36468,0.00864538586139679,0.4076,0.021229502987861634,0.1836,0.007881142078638076,0.45368,0.0071700699627399445,0.49870000000000003,0.017009285293892024,0.7597
0.008599376801252365,0.4092,0.007741201859712601,0.452,0.024392822861671448,0.1905,0.007708802797794342,0.46816,0.0069506191492080685,0.5162,0.015311291170351507,0.7991
0.008416277470588684,0.42240000000000005,0.008075780570507049,0.44820000000000004,0.021832508063316346,0.196,0.007575463713407516,0.47584000000000004,0.006933987939357757,0.5156000000000001,0.01543250818856597,0.7776000000000001
0.008274333847761155,0.4278,0.007683834093809128,0.465,0.024037689685821532,0.1978,0.007487357505559921,0.47894000000000003,0.006726261407136917,0.5262,0.014378890919330718,0.8178000000000001
0.008176776938438416,0.43476000000000004,0.007739732855558395,0.45690000000000003,0.020069157314300538,0.22110000000000002,0.007389835684299469,0.48442,0.006573598736524582,0.5374,0.014339941112315057,0.8202
0.00821912424683571,0.4349,0.007573050373792648,0.4767,0.02642793698310852,0.2074,0.00728947913646698,0.48856000000000005,0.006660623955726624,0.5372,0.015531116656820774,0.7955
0.007623239594697952,0.46796000000000004,0.007037295871973038,0.5078,0.023599114787578583,0.1928,0.00723889919757843,0.4938,0.006558257514238357,0.5375,0.013829891677516104,0.8178000000000001
0.007549320315122604,0.46784000000000003,0.006937793004512787,0.5119,0.024058430218696594,0.2048,0.007141936304569245,0.5001,0.0064169053971767425,0.5408000000000001,0.014416437279033065,0.7984
0.007491368359327316,0.47456000000000004,0.0068492236495018,0.5176000000000001,0.02409558367729187,0.20800000000000002,0.0070929064738750455,0.50444,0.006413689464330673,0.5424,0.01509668791206777,0.8028000000000001
0.007466981416940689,0.4757,0.006905732053518295,0.5123,0.027201894068717956,0.1564,0.007048241598606109,0.5088400000000001,0.0063826514065265655,0.5517000000000001,0.016134195358284115,0.7966000000000001
