training_loss_SGD,training_acc_SGD,testing_loss_SGD,testing_acc_SGD,testing_loss_SGD_S,testing_acc_SGD_S,training_loss_Adam,training_acc_Adam,testing_loss_Adam,testing_acc_Adam,testing_loss_Adam_S,testing_acc_Adam_S
0.014932741532325745,0.28514,0.013018702292442322,0.4022,0.01963141074180603,0.2215,0.015238943195343017,0.28722000000000003,0.013229940795898438,0.39640000000000003,0.015429581436958313,0.7072
0.013883668384552001,0.34516,0.012881263291835785,0.4025,0.01714203633069992,0.24000000000000002,0.013142205555438996,0.39270000000000005,0.012253077423572541,0.4456,0.015228083530226946,0.7856000000000001
0.01391647803068161,0.34418000000000004,0.013768245005607605,0.35710000000000003,0.031910557532310486,0.1218,0.012471011950969696,0.42510000000000003,0.011588552248477936,0.47750000000000004,0.01632524921682,0.8230000000000001
0.013957060546875,0.33912000000000003,0.013805214726924897,0.3563,0.0241357460975647,0.1288,0.012028694224357605,0.44816000000000006,0.0113387397646904,0.48700000000000004,0.018684474828757045,0.8035
0.013939045214653015,0.34186000000000005,0.013386287212371827,0.364,0.020571637868881224,0.1395,0.011747457489967346,0.46242000000000005,0.01095079540014267,0.5054000000000001,0.01755585040962577,0.8426
0.01284412247657776,0.39628,0.012058845710754395,0.4439,0.023937397360801697,0.1537,0.01151564183473587,0.47278000000000003,0.010698424887657166,0.5194,0.01822575496307135,0.8511000000000001
0.012491788039207459,0.41644000000000003,0.011758213019371033,0.45530000000000004,0.025052397179603576,0.1622,0.011349049816131591,0.48176,0.01050764652490616,0.5321,0.01784496639403939,0.8624
0.012448353781700134,0.41944000000000004,0.011615937638282775,0.4736,0.02597446551322937,0.1729,0.011222776885032653,0.49056000000000005,0.010408176517486573,0.5305,0.01841702665225029,0.8577
0.012315083978176117,0.42744000000000004,0.012069609224796295,0.4501,0.020536189723014832,0.2146,0.011068094031810761,0.49488000000000004,0.010217321538925172,0.546,0.021111981214346886,0.8410000000000001
0.012343258168697357,0.42582000000000003,0.01163066085577011,0.4776,0.027026011896133424,0.1713,0.010937153346538544,0.50304,0.010149593675136567,0.5467000000000001,0.021751532303842306,0.8450000000000001
0.011650253796577454,0.46170000000000005,0.01097740483880043,0.5003000000000001,0.025552012944221495,0.18710000000000002,0.01088049215555191,0.5062000000000001,0.01001578938961029,0.5517000000000001,0.022886584002149105,0.8204
0.011517734546661378,0.46614000000000005,0.010877863883972168,0.5058,0.029157772064208984,0.1652,0.010771876595020295,0.5127,0.010001431733369827,0.5523,0.023116477776649595,0.8342
