0,1,2,3,4,5,6,7,8,9
0.0,0.0,3052.0,0.0,122.0,2227.0,854.0,0.0,17329.0,6416.0
0.0,0.0,1442.0,0.0,300.0,2812.0,2486.0,0.0,5612.0,17348.0
0.0,0.0,5834.0,0.0,421.0,7457.0,7383.0,0.0,3867.0,5038.0
0.0,0.0,2791.0,0.0,457.0,12710.0,6443.0,0.0,1516.0,6083.0
0.0,0.0,3527.0,0.0,603.0,6377.0,12896.0,0.0,1876.0,4721.0
0.0,0.0,2222.0,0.0,123.0,17470.0,4924.0,0.0,1508.0,3753.0
0.0,0.0,1491.0,0.0,343.0,3601.0,20395.0,0.0,405.0,3765.0
0.0,0.0,1810.0,0.0,138.0,7894.0,6176.0,0.0,1003.0,12979.0
0.0,0.0,892.0,0.0,57.0,1764.0,200.0,0.0,21399.0,5688.0
0.0,0.0,721.0,0.0,117.0,1867.0,2034.0,0.0,3475.0,21786.0
