Loss,Acc
0.017570241093635558,"tensor(0.2035, device='cuda:0', dtype=torch.float64)"
0.01583207629919052,"tensor(0.2700, device='cuda:0', dtype=torch.float64)"
0.014971356320381164,"tensor(0.3115, device='cuda:0', dtype=torch.float64)"
0.014011248302459717,"tensor(0.3627, device='cuda:0', dtype=torch.float64)"
0.013450186216831207,"tensor(0.3765, device='cuda:0', dtype=torch.float64)"
0.013064413893222809,"tensor(0.3972, device='cuda:0', dtype=torch.float64)"
0.012821104228496551,"tensor(0.4067, device='cuda:0', dtype=torch.float64)"
0.012660509836673736,"tensor(0.4132, device='cuda:0', dtype=torch.float64)"
0.012508644163608551,"tensor(0.4210, device='cuda:0', dtype=torch.float64)"
0.012435393464565276,"tensor(0.4218, device='cuda:0', dtype=torch.float64)"
0.012361021304130554,"tensor(0.4254, device='cuda:0', dtype=torch.float64)"
0.012309302473068237,"tensor(0.4278, device='cuda:0', dtype=torch.float64)"
0.012242237198352813,"tensor(0.4314, device='cuda:0', dtype=torch.float64)"
0.012186051046848298,"tensor(0.4355, device='cuda:0', dtype=torch.float64)"
0.012117487001419068,"tensor(0.4398, device='cuda:0', dtype=torch.float64)"
0.01209525351524353,"tensor(0.4417, device='cuda:0', dtype=torch.float64)"
0.012058761548995971,"tensor(0.4428, device='cuda:0', dtype=torch.float64)"
0.01205464255809784,"tensor(0.4420, device='cuda:0', dtype=torch.float64)"
0.012018799948692321,"tensor(0.4431, device='cuda:0', dtype=torch.float64)"
0.011999620807170867,"tensor(0.4468, device='cuda:0', dtype=torch.float64)"
0.011999462985992432,"tensor(0.4427, device='cuda:0', dtype=torch.float64)"
0.011984320485591888,"tensor(0.4462, device='cuda:0', dtype=torch.float64)"
0.011974718427658081,"tensor(0.4475, device='cuda:0', dtype=torch.float64)"
0.0119599915266037,"tensor(0.4475, device='cuda:0', dtype=torch.float64)"
0.01195142674446106,"tensor(0.4493, device='cuda:0', dtype=torch.float64)"
0.011941802752017975,"tensor(0.4477, device='cuda:0', dtype=torch.float64)"
0.011935078728199005,"tensor(0.4500, device='cuda:0', dtype=torch.float64)"
0.011929190587997436,"tensor(0.4504, device='cuda:0', dtype=torch.float64)"
0.011928004097938538,"tensor(0.4477, device='cuda:0', dtype=torch.float64)"
0.011919687867164613,"tensor(0.4493, device='cuda:0', dtype=torch.float64)"
0.011920340371131898,"tensor(0.4486, device='cuda:0', dtype=torch.float64)"
0.011916115200519562,"tensor(0.4507, device='cuda:0', dtype=torch.float64)"
0.01191075679063797,"tensor(0.4504, device='cuda:0', dtype=torch.float64)"
0.011905843818187713,"tensor(0.4497, device='cuda:0', dtype=torch.float64)"
0.011906656265258789,"tensor(0.4502, device='cuda:0', dtype=torch.float64)"
0.011905587840080261,"tensor(0.4502, device='cuda:0', dtype=torch.float64)"
0.011905511915683746,"tensor(0.4503, device='cuda:0', dtype=torch.float64)"
0.011903798913955689,"tensor(0.4500, device='cuda:0', dtype=torch.float64)"
0.011900932443141938,"tensor(0.4510, device='cuda:0', dtype=torch.float64)"
0.011899862325191498,"tensor(0.4508, device='cuda:0', dtype=torch.float64)"
0.011900759947299958,"tensor(0.4506, device='cuda:0', dtype=torch.float64)"
0.011900200891494751,"tensor(0.4502, device='cuda:0', dtype=torch.float64)"
0.011899643135070801,"tensor(0.4507, device='cuda:0', dtype=torch.float64)"
0.011899476158618928,"tensor(0.4504, device='cuda:0', dtype=torch.float64)"
0.011897944879531861,"tensor(0.4506, device='cuda:0', dtype=torch.float64)"
0.011897746324539184,"tensor(0.4505, device='cuda:0', dtype=torch.float64)"
0.011897072887420654,"tensor(0.4506, device='cuda:0', dtype=torch.float64)"
0.01189647285938263,"tensor(0.4505, device='cuda:0', dtype=torch.float64)"
0.011896427392959595,"tensor(0.4507, device='cuda:0', dtype=torch.float64)"
0.01189613538980484,"tensor(0.4508, device='cuda:0', dtype=torch.float64)"
