L1 Loss,CE Loss,Focal Loss(γ=0.5),Focal Loss(γ=2.0)
0.0010628847916424274,0.014793572809696197,0.01440570160150528,0.011302084772586823
0.0008704962073266506,0.010330753614902497,0.011023332505226136,0.007840236029624938
0.0007963914562761783,0.008044510239362717,0.008807431403398513,0.00599524551987648
0.0007588377584517003,0.0065403743016719815,0.007263441795110703,0.004932899891138077
0.0007302148985862732,0.0055500028902292255,0.00606735490322113,0.004141561895608902
0.0006776054453849793,0.0042797602832317354,0.004769202018976211,0.0032027210927009584
0.000656997767239809,0.0038090848743915556,0.0042317737036943436,0.0028679171150922775
0.0006469824928045273,0.003508902732729912,0.0038190797448158266,0.0026170245423913
0.0006338513734191657,0.0031889255812764168,0.0034570687019824984,0.0023219647634029387
0.0006309647565335035,0.0029949731972813607,0.00312510058760643,0.0021424259021878243
0.0006029552088677883,0.0023591117629408838,0.0025150285536050796,0.001728744830340147
0.0005773920656740666,0.0020994648694992067,0.002309087336063385,0.0015778472764790058
0.0004752844811975956,0.0019923448354005812,0.002141274617910385,0.0014599552731215954
0.0004402886192500591,0.0018870238433778286,0.0020068189157545564,0.001368393245190382
0.00041988452836871145,0.0017827261316776277,0.001922155698388815,0.001293151346296072
0.0003934766997024417,0.0013953075748682022,0.0015685728023946285,0.0010589110191166402
