L1 Loss,CE Loss,Focal Loss(γ=0.5),Focal Loss(γ=2.0)
62.6352059841156,62.26174521446228,62.37622666358948,62.502843141555786
62.01514649391174,62.24191093444824,62.33799958229065,62.42406678199768
62.0479896068573,62.26230573654175,62.34332990646362,62.48016285896301
62.00279998779297,62.290682554244995,62.35275864601135,62.42033767700195
62.02478313446045,62.276020765304565,62.32022523880005,62.46226692199707
62.03385019302368,62.34051060676575,62.257813930511475,62.46924710273743
62.067177057266235,62.28584408760071,62.48388862609863,62.44565939903259
62.077863693237305,62.27922177314758,62.216678619384766,62.45750308036804
62.0755832195282,62.306371212005615,62.23803186416626,62.46657609939575
62.116119384765625,62.427751302719116,62.32535910606384,62.4559965133667
62.07658362388611,62.22869086265564,62.33851742744446,62.498722076416016
62.09932613372803,62.27459788322449,62.37423777580261,62.42070198059082
62.08877348899841,62.301554679870605,62.32930660247803,62.34465479850769
62.14227366447449,62.300074338912964,62.39359927177429,62.340320110321045
62.03704023361206,62.258280992507935,62.305572748184204,62.34808659553528
62.02612066268921,62.27944874763489,62.38407325744629,62.36495494842529
62.010915994644165,62.29947805404663,62.459630250930786,62.35524535179138
62.2055549621582,62.240281105041504,62.38001585006714,62.30791664123535
62.02825450897217,62.24438214302063,62.40979743003845,62.21241354942322
61.956541776657104,62.444758892059326,62.469362020492554,62.34222602844238
62.038809299468994,62.32361054420471,62.44121527671814,62.39889693260193
61.993905782699585,62.156721353530884,62.4498565196991,62.44556403160095
61.97936034202576,62.26198220252991,62.48401856422424,62.50899863243103
62.01826477050781,62.257564544677734,62.41993999481201,62.45465922355652
62.05811095237732,62.30170011520386,62.410059452056885,62.39851975440979
61.97421216964722,62.316845178604126,62.45712971687317,62.414546966552734
62.020806550979614,62.1252076625824,62.394832611083984,62.356316328048706
61.977731704711914,62.26718735694885,62.371254444122314,62.45416975021362
62.00025987625122,62.28703331947327,62.5149142742157,62.37197756767273
61.99297261238098,62.468998193740845,62.49177145957947,62.369001626968384
