L1 Loss,CE Loss,Focal Loss(γ=0.5),Focal Loss(γ=2.0)
0.32834,0.33034,0.29742,0.30870000000000003
0.44526000000000004,0.51714,0.41784000000000004,0.44054000000000004
0.49296000000000006,0.63402,0.52798,0.5468200000000001
0.5157,0.7069000000000001,0.6094400000000001,0.6186400000000001
0.5340400000000001,0.7523000000000001,0.67332,0.6708200000000001
0.56764,0.8096000000000001,0.7427400000000001,0.7327600000000001
0.5806,0.83176,0.7718200000000001,0.75734
0.5871000000000001,0.84584,0.7929200000000001,0.77446
0.5956,0.8601800000000001,0.81222,0.7952400000000001
0.59716,0.8678800000000001,0.8305400000000001,0.8093800000000001
0.6144200000000001,0.8964000000000001,0.8620200000000001,0.8379200000000001
0.63268,0.90688,0.87116,0.84738
0.7013600000000001,0.9104200000000001,0.8815600000000001,0.8547600000000001
0.72204,0.9160200000000001,0.88712,0.86162
0.7345200000000001,0.921,0.89226,0.8678800000000001
0.7508400000000001,0.9390000000000001,0.9100600000000001,0.8848
