Epoch,Train Loss,Train Acc,Test Loss,Test Acc,F1 Score
1,0.015869281132221223,0.22736,0.014503872549533845,0.2921,0.2554666147818031
2,0.014581538853645324,0.29308,0.013884189987182617,0.3395,0.3114380403397173
3,0.01422830062866211,0.31518,0.013419397032260895,0.3753,0.3663674753496001
4,0.014024349267482758,0.33224,0.013483752286434173,0.353,0.3258118348431668
5,0.013854407005310059,0.34548,0.01362934651374817,0.3554,0.3330177679328609
6,0.01310081672668457,0.3795,0.012434367978572846,0.4142,0.4004440680673836
7,0.012933556847572327,0.38884,0.01251944236755371,0.4028,0.397001908817736
8,0.01280273964881897,0.39392,0.01203482986688614,0.442,0.4308653031262192
9,0.012758631570339202,0.40012,0.012323821294307709,0.4235,0.4116908203828999
10,0.01265957582950592,0.40596,0.012067162179946899,0.4337,0.4309632790015895
11,0.012075653464794158,0.43466,0.011443101823329926,0.4713,0.4604240690835213
12,0.011872562878131867,0.44408,0.0112046639919281,0.48,0.46641098891938837
13,0.01180904412984848,0.44954,0.011111017000675202,0.4927,0.48864450827473366
14,0.011686908469200135,0.45464,0.011109124159812927,0.4799,0.4691549503481161
15,0.011652920515537263,0.46028,0.010910216796398163,0.5001,0.49429445799983707
16,0.011237058763504029,0.4809,0.010556830215454102,0.5136,0.5106149414452031
17,0.011152864425182343,0.48456,0.010528330039978027,0.5178,0.5064678285283661
18,0.011131918272972108,0.48748,0.010573418235778809,0.5132,0.5077428926980181
19,0.011068465793132781,0.48654,0.010379468703269959,0.5285,0.5240083735614373
20,0.011008324360847473,0.49064,0.010388038587570191,0.525,0.5099314520316238
21,0.010792936675548554,0.50258,0.010180211007595062,0.5375,0.5321271736354417
22,0.010727187836170196,0.50664,0.010089484739303588,0.5419,0.5369625414096701
23,0.010714546337127685,0.5091,0.010036818623542786,0.5418,0.5363911557692425
24,0.010697230632305146,0.50254,0.01009750884771347,0.5396,0.5344825796923178
25,0.010703906016349792,0.5097,0.010157289898395538,0.5365,0.5293427975797397
26,0.010522030568122863,0.51592,0.009895565283298493,0.5514,0.5465831476904758
27,0.01048403693675995,0.51808,0.00988873344063759,0.5488,0.5444704691929833
28,0.010499511260986328,0.51672,0.009883241212368011,0.5455,0.5410052399519616
29,0.010482510585784912,0.51734,0.009861624205112458,0.5504,0.5476272954201364
30,0.010409973649978638,0.52306,0.009889449191093445,0.5482,0.541507915136894
