Epoch,Train Loss,Train Acc,Test Loss,Test Acc,F1 Score
1,0.01357540121793747,0.30472,0.012012795460224152,0.3706,0.35792740159273145
2,0.01255016078233719,0.35618,0.011603854095935822,0.4073,0.3946716247432416
3,0.012467925064563751,0.35898,0.011679393446445465,0.4082,0.39447176222175
4,0.012424826171398163,0.3617,0.012232616245746612,0.3904,0.36776744934339384
5,0.01225974764585495,0.36714,0.01168492738008499,0.4003,0.38886316369434965
6,0.011375339512825012,0.40866,0.010787350392341613,0.4398,0.43474251732917446
7,0.011175985333919525,0.4189,0.010474713551998138,0.4652,0.4522489308910086
8,0.01108523476600647,0.42738,0.01041799691915512,0.4712,0.4653276831127725
9,0.011013908836841583,0.43036,0.010988404834270478,0.4302,0.40827864049254015
10,0.01105273945093155,0.4304,0.010849630200862884,0.4489,0.44442857566862504
11,0.010455309200286865,0.45832,0.00980753470659256,0.4953,0.4834152627274662
12,0.010319879908561707,0.4648,0.009890133738517761,0.4963,0.4815216946414577
13,0.010278965995311737,0.46568,0.009604568839073182,0.5061,0.5000709763590465
14,0.010206997916698456,0.46852,0.00955652951002121,0.5076,0.4966779499147725
15,0.010164399368762969,0.47146,0.009573040568828583,0.511,0.5074972455463485
16,0.009828737380504608,0.4884,0.00929559845328331,0.5249,0.5187353021000368
17,0.009786905794143676,0.4918,0.009176100558042527,0.5237,0.5153784352858667
18,0.00971754942536354,0.49666,0.00906904581785202,0.5365,0.5315051418873359
19,0.009646966899633408,0.49842,0.009139256113767624,0.5283,0.5253337036733636
20,0.009651043998003006,0.49906,0.009082686698436737,0.5306,0.5257892416639044
21,0.009396998901367188,0.50918,0.00889486363530159,0.5402,0.5389326099997543
22,0.009416138933897018,0.50614,0.008823146682977677,0.5459,0.5393149834332017
23,0.00936256641626358,0.51206,0.0089309226334095,0.5415,0.5361084204629334
24,0.009377820471525192,0.51156,0.00875387870669365,0.5484,0.5402738361907589
25,0.009313956005573273,0.51544,0.008799949473142624,0.5471,0.5453194068671331
26,0.00917431932091713,0.52176,0.008588815492391585,0.5575,0.5534637889307465
27,0.009165519626140595,0.52078,0.008621102064847947,0.5555,0.5516102633931609
28,0.00918475569844246,0.52102,0.008661956930160522,0.554,0.54888561557458
29,0.009199059796333313,0.51928,0.008614252400398254,0.5543,0.5507118966522525
30,0.009138146759271621,0.52052,0.008588653582334519,0.5559,0.5523797138933109
