Epoch,Train Loss,Train Acc,Test Loss,Test Acc,F1 Score
1,0.02055344816684723,0.09924000000000001,0.01904010022878647,0.10070000000000001,0.08373232378838756
2,0.01880007842063904,0.09892000000000001,0.018554383742809294,0.0616,0.05236597314365676
3,0.018473322627544402,0.09390000000000001,0.018164200389385224,0.1403,0.07974580747580719
4,0.01834616424322128,0.10202000000000001,0.018125119018554688,0.1516,0.0936808776633947
5,0.01822201340198517,0.09456,0.017968204045295717,0.0884,0.053117645501684345
6,0.018032384781837465,0.10104,0.017748610627651214,0.1208,0.07002535479558421
7,0.017991847200393676,0.09720000000000001,0.01774017654657364,0.0574,0.03885990922671534
8,0.01790724285364151,0.09450000000000001,0.017459578239917756,0.0599,0.03886919369186531
9,0.017869106154441834,0.10018,0.01750394792556763,0.0609,0.042891404067792106
10,0.0177191387796402,0.09060000000000001,0.01741432853937149,0.109,0.0852369439934953
11,0.01747529585838318,0.09432,0.017111736238002776,0.11510000000000001,0.07620380617197409
12,0.017198741133213045,0.10216000000000001,0.0173121918797493,0.1194,0.09789876397387723
13,0.017048204748630523,0.09832,0.01643161851167679,0.0674,0.043330804938833595
14,0.016851793630123138,0.09838000000000001,0.01647294557094574,0.0719,0.04647144632038572
15,0.01676480451822281,0.08944,0.016254280459880827,0.0858,0.06824921784682
16,0.01654289066553116,0.08994,0.016173939311504366,0.0946,0.0797796827338495
17,0.016388075153827668,0.09526000000000001,0.016053625905513763,0.0946,0.06990967731756248
18,0.016350149438381194,0.08926,0.01607328245639801,0.08410000000000001,0.04679346212025944
19,0.01627866800069809,0.08588000000000001,0.016142163598537446,0.0956,0.06633929196015169
20,0.01621971736907959,0.0879,0.01588584336042404,0.10940000000000001,0.0849604775556647
21,0.01608988355398178,0.09126000000000001,0.015714519143104552,0.10300000000000001,0.07149764590662895
22,0.016022330231666566,0.08558,0.015691345191001894,0.0821,0.06554582146797448
23,0.01597896191120148,0.08752,0.015769494462013246,0.0964,0.0672895161330996
24,0.01595870942592621,0.08832000000000001,0.015656061887741088,0.1029,0.09210444894411765
25,0.015977990329265595,0.09194000000000001,0.015653556334972382,0.08320000000000001,0.06606575523691764
26,0.015815183458328247,0.08380000000000001,0.015632439458370208,0.0922,0.08033664534722677
27,0.01575798456668854,0.08738000000000001,0.015477495074272155,0.0843,0.05565163563585047
28,0.015738486807346345,0.08828000000000001,0.01548125786781311,0.0897,0.0660025482500944
29,0.015777072505950927,0.08974000000000001,0.015503865671157836,0.08700000000000001,0.07412625488240762
30,0.015752135853767394,0.09844000000000001,0.015362992358207702,0.1071,0.08791805299397636
